artist_uri,artist_popularity,artist_followers
spotify:artist:0001wHqxbF2YYRQxGdbyER,15,9368
spotify:artist:000HQdx4eaeWmI51PZmeMZ,40,82
spotify:artist:000I60AeWcpszUzzirjtbZ,5,138
spotify:artist:000g1xoERW2wrJusJdfBpf,22,28
spotify:artist:001aJOc7CSQVo3XzoLG4DK,45,173827
spotify:artist:0028K9FRr7VfdzdF9DhUAo,30,1423
spotify:artist:002TmsLOEGkMqhkbb2zWfs,27,35
spotify:artist:002yVW3Yn595KWy74buQ1k,13,153
spotify:artist:003Lrmd4Hy04kSf0wZm3xm,23,5567
spotify:artist:003f4bk13c6Q3gAUXv7dGJ,69,117349
spotify:artist:003mM4eaybX5uyeo6cQn3p,1,53
spotify:artist:003pIw7FyWyjYvjQHtx2DA,17,121
spotify:artist:004F88I7EWH54o9jNfUbEn,56,5437
spotify:artist:004NEYJtnyh0Xnhxeetoov,1,157
spotify:artist:004UYHPUOnYC9p2vu9XcIV,24,12011
spotify:artist:004oG2V410A3DdwkDGp9xU,2,1454
spotify:artist:004s3WVecP2IQy7Hw8gfoi,39,16488
spotify:artist:0052sLPmKyG6ou86BEhYjt,42,228062
spotify:artist:0053IOogvINAp4SBeFSz82,26,6334
spotify:artist:005aNwS2ayjqoZxwakSyt4,35,8408
spotify:artist:005ppBcDhgC9mj7CgRmv1D,53,2237
spotify:artist:006Mv4bnAJGVnasH1pbDEO,31,14213
spotify:artist:006ibfxHXj6ewIkihKcaS2,43,21670
spotify:artist:007FXgr0jLBJxhPJjacXQH,60,799672
spotify:artist:007Tv1vLpvMB8AWAiyYg5M,18,7156
spotify:artist:007nYTXRhZJUZGH7ct5Y3v,42,20407
spotify:artist:007oVZGwyCXJSZSC3jLeEn,4,289
spotify:artist:0088INLrI8Cc537xq1N3p3,40,57
spotify:artist:008PpLcKUtVXle6JSwkq3I,66,3164822
spotify:artist:008yUYD9avjHlXXmT47dz9,39,1323
spotify:artist:009SHiJ9rvFm3vNwL4SjZx,40,12560
spotify:artist:00AFbqxvdDK6T1D6MQZ9c1,54,484098
spotify:artist:00AJqMNUixOtYt9itiUDZj,46,1811
spotify:artist:00AWHcCWYkDugnW7Ar7eV8,13,301
spotify:artist:00AYKyVMFJ8vaHjcoipn4k,18,130
spotify:artist:00B9mff8749d1A2LOLH41b,61,17612
spotify:artist:00B9s5mwjNF085Dyxyr17w,9,1429
spotify:artist:00BWsCgHsSw4y4YkKnfjlx,28,671
spotify:artist:00ByTA04jKtjHCSCEjKFID,10,4423
spotify:artist:00CMSJdbf36zOzKB3z8JrR,59,14647
spotify:artist:00CTomLgA78xvwEwL0woWx,48,100876
spotify:artist:00CYRdkMnA0mwfy1VQPA7X,50,31750
spotify:artist:00Cerng9nmk2FFWRCZD2U8,24,61
spotify:artist:00DQL8pvI7Iy7PmCMVsldW,32,6431
spotify:artist:00DSeUAdyYqUyGFqeySG68,30,34254
spotify:artist:00DkRCKgM6Ku90WtOfoYlw,42,62215
spotify:artist:00DuPiLri3mNomvvM3nZvU,46,206962
spotify:artist:00E0xvoM67oRJk8a5iTyEh,45,54618
spotify:artist:00EdCg3P7rXHczduiymMAR,15,25
spotify:artist:00FQDX3bcsSTPlkBckHyQe,28,8470
spotify:artist:00FQb4jTyendYWaN8pK0wa,92,22394347
spotify:artist:00G1NTDAoU7rBpjG4KoYAM,43,134286
spotify:artist:00G2Eb93bYYALQi7oZFnIL,30,3398
spotify:artist:00G8omeTs5cSEXHhmwAfIw,31,3170
spotify:artist:00GE43ZjlHyDbqTM409AnR,24,278
spotify:artist:00GQFQMePsK6tyPSJkBJZG,50,10472
spotify:artist:00Gr0iw1YzQugymiXfclUH,0,80
spotify:artist:00HXdZ3u5T2JTtdGER4xVe,38,6173
spotify:artist:00HuMdTHmKRpmcLE6dyyCb,16,3798
spotify:artist:00IJC5cYMdgJBc4yQbFY7K,34,1056
spotify:artist:00IUMN7pWAU2jYWcdOt5c3,40,28011
spotify:artist:00IjdWQ46sSBP4gZYObAMx,28,10549
spotify:artist:00JAfwtx5gNiiqyor88Dr5,45,153395
spotify:artist:00Ja3YjvU4DYCHWt6cPs42,51,26984
spotify:artist:00JrlzGhrk892JNRAAQOTo,22,54
spotify:artist:00KWdGU4pWHruBYx5rAWSN,28,16329
spotify:artist:00KpeiBLKdBY5NuFw65bWi,21,1451
spotify:artist:00Kwx4BvhjavOQeeG9gZjw,21,11901
spotify:artist:00L3DU7naaW3XOIX26HXVz,25,4246
spotify:artist:00LMt4rvi6xkahRJ8UVKDU,18,302
spotify:artist:00LY9cN1x8xfhdAa1YJiyw,19,852
spotify:artist:00M3qh72XIfknqSvCE0N9O,4,230
spotify:artist:00NGHcG4bH5iYLnpc7UYzl,15,81
spotify:artist:00Nnsh2ykMBYnCDsSFGXSY,49,160048
spotify:artist:00NuUBL2vFbfQiCAqXSjcZ,50,7229
spotify:artist:00OF0nwYaoBSO3AnPVq3vE,58,209984
spotify:artist:00OLN5o0Ba1W6KkjRi5jWd,52,25684
spotify:artist:00OX175uYCsHJPLZOjNJqe,45,36564
spotify:artist:00OebaGUcvOmctba9oQZnv,28,3718
